game_session,installation_id,title,num_correct,num_incorrect,accuracy,accuracy_group
197a373a77101924,0006c192,Cauldron Filler (Assessment),1,0,1.0,3
470a1bd6b99152a7,002db7e3,Cauldron Filler (Assessment),1,0,1.0,3
272cc78535e9add1,003372b0,Cauldron Filler (Assessment),1,0,1.0,3
3a50778205e34531,004c2091,Cauldron Filler (Assessment),1,0,1.0,3
ae5de691ea2252f1,004c2091,Cauldron Filler (Assessment),1,0,1.0,3
1454d273262f61e3,00634433,Cauldron Filler (Assessment),1,0,1.0,3
27cf0c9a24932c72,00691033,Cauldron Filler (Assessment),1,2,0.3333333333333333,1
d177c3ef04370586,00691033,Cauldron Filler (Assessment),1,0,1.0,3
7cf1b76f9a705306,00ad158e,Cauldron Filler (Assessment),1,2,0.3333333333333333,1
9444d34477d7f2c5,00e17272,Cauldron Filler (Assessment),1,0,1.0,3
a8c4aa084792d9bc,00e17272,Cauldron Filler (Assessment),1,0,1.0,3
a8f34c37b52dcf4e,00e17272,Cauldron Filler (Assessment),1,0,1.0,3
6fdf341bb1535e56,00e536bf,Cauldron Filler (Assessment),1,1,0.5,2
f39c4fd3c2f3d7d9,00e536bf,Cauldron Filler (Assessment),1,0,1.0,3
22e0b69bad7a475c,00fc65b6,Cauldron Filler (Assessment),1,1,0.5,2
2f2edeb4ee1a6b96,00fc65b6,Cauldron Filler (Assessment),1,0,1.0,3
2b06dcf3a9bc9ab5,01582211,Cauldron Filler (Assessment),1,0,1.0,3
85056f5ceab5ecbf,01cc53f3,Cauldron Filler (Assessment),1,0,1.0,3
93b8e335aad20961,01f71702,Cauldron Filler (Assessment),1,1,0.5,2
3f71abf1e79cd767,022183ab,Cauldron Filler (Assessment),1,0,1.0,3
7de6e079182c4abf,022183ab,Cauldron Filler (Assessment),0,1,0.0,0
07d386012a71175a,0235fe9a,Cauldron Filler (Assessment),1,1,0.5,2
e8420e88c35cc712,0235fe9a,Cauldron Filler (Assessment),1,1,0.5,2
bbdf7e2ae92c2dfb,026035e9,Cauldron Filler (Assessment),0,3,0.0,0
3918b575e60fa5d3,027b3c4c,Cauldron Filler (Assessment),1,0,1.0,3
ac9f4c11e3987eb6,0281f6bf,Cauldron Filler (Assessment),1,0,1.0,3
fde480b00b67bf39,0281f6bf,Cauldron Filler (Assessment),1,0,1.0,3
d1228ecb363467b7,02aa515f,Cauldron Filler (Assessment),1,1,0.5,2
3351196298c8e1a7,02b1fab4,Cauldron Filler (Assessment),1,0,1.0,3
2b1d065fac9072ac,02c975bc,Cauldron Filler (Assessment),1,1,0.5,2
65ec894e5ddcf322,02c975bc,Cauldron Filler (Assessment),1,0,1.0,3
dca9a98de8145f70,02c975bc,Cauldron Filler (Assessment),1,0,1.0,3
371da06effd4c290,02cdd48e,Cauldron Filler (Assessment),1,0,1.0,3
6669218d2273050d,02cdfffd,Cauldron Filler (Assessment),1,3,0.25,1
30cb87f4e39bcdd7,02e76f43,Cauldron Filler (Assessment),1,2,0.3333333333333333,1
b2ef75b0eed42aa1,02e76f43,Cauldron Filler (Assessment),1,0,1.0,3
d4fb7bc0a578763c,02e76f43,Cauldron Filler (Assessment),1,0,1.0,3
93afabfc3d429f28,031af3b8,Cauldron Filler (Assessment),1,1,0.5,2
a7284c2cfbfcddc6,0328fc8f,Cauldron Filler (Assessment),1,0,1.0,3
defc4e426c5a8c3f,0328fc8f,Cauldron Filler (Assessment),1,0,1.0,3
849414629f9b18fa,03401e19,Cauldron Filler (Assessment),1,0,1.0,3
bcdbe274b194a77a,03401e19,Cauldron Filler (Assessment),1,0,1.0,3
995247c167749050,03957682,Cauldron Filler (Assessment),1,0,1.0,3
67a199fcaf540695,03a5b006,Cauldron Filler (Assessment),1,0,1.0,3
b7c995ca380cf960,03a5b006,Cauldron Filler (Assessment),1,0,1.0,3
e556d27d5da05ac1,03a5b006,Cauldron Filler (Assessment),1,0,1.0,3
067d1041b775c495,03bf2563,Cauldron Filler (Assessment),1,2,0.3333333333333333,1
2909145685ebfea1,03bf2563,Cauldron Filler (Assessment),1,0,1.0,3
43d1be31db34e17a,03bf2563,Cauldron Filler (Assessment),1,0,1.0,3
44b1a2e90e953fc3,03bf2563,Cauldron Filler (Assessment),1,2,0.3333333333333333,1
7f1b214a87941443,03c5998d,Cauldron Filler (Assessment),1,1,0.5,2
a92066a87862c385,03d15b59,Cauldron Filler (Assessment),1,0,1.0,3
c34763bc49fb778e,03e38765,Cauldron Filler (Assessment),1,0,1.0,3
6cb65832914093e6,0413ae4a,Cauldron Filler (Assessment),1,0,1.0,3
