game_session,installation_id,title,num_correct,num_incorrect,accuracy,accuracy_group
8fdd5d389d0e272e,001d0ed0,Chest Sorter (Assessment),0,1,0.0,0
9480b026e3e7d371,001d0ed0,Cart Balancer (Assessment),1,0,1.0,3
346d5f57cf40bac0,00279ac5,Chest Sorter (Assessment),0,11,0.0,0
113a557b60770369,002db7e3,Cart Balancer (Assessment),1,0,1.0,3
67f9274eb736ab3f,002db7e3,Chest Sorter (Assessment),0,5,0.0,0
f50104895c55045f,002db7e3,Chest Sorter (Assessment),0,7,0.0,0
0adc585fb4f48458,003372b0,Cart Balancer (Assessment),1,0,1.0,3
3beae5a17e0b26f6,003372b0,Cart Balancer (Assessment),1,0,1.0,3
4649b29840d5b0f1,003372b0,Chest Sorter (Assessment),0,4,0.0,0
440633fe3ef55b90,00634433,Cart Balancer (Assessment),1,0,1.0,3
8c2d5dff4635d020,00634433,Chest Sorter (Assessment),0,1,0.0,0
900f3ed7ba1a3e72,00667b88,Cart Balancer (Assessment),0,1,0.0,0
a01b01d1e22d0446,00667b88,Cart Balancer (Assessment),1,0,1.0,3
afbc42ed46d8d8b6,00691033,Chest Sorter (Assessment),0,4,0.0,0
13ef4c0f43016c21,00a0dbeb,Cart Balancer (Assessment),0,3,0.0,0
8d95ce85370a27f1,00a0dbeb,Cart Balancer (Assessment),0,6,0.0,0
9debd3d366d92441,00a0dbeb,Cart Balancer (Assessment),0,1,0.0,0
a77bfd165bda7f8f,00a0dbeb,Cart Balancer (Assessment),0,2,0.0,0
6505823b46937a52,00b9d8e6,Cart Balancer (Assessment),1,1,0.5,2
9166fbf0ebef112b,00cef781,Cart Balancer (Assessment),1,0,1.0,3
13fb574a0788a342,00e17272,Cart Balancer (Assessment),1,0,1.0,3
79b23df7134680d6,00e17272,Cart Balancer (Assessment),1,0,1.0,3
7c99edfbd81036e7,00e17272,Chest Sorter (Assessment),1,1,0.5,2
303c177193a14b1c,00e536bf,Cart Balancer (Assessment),1,0,1.0,3
5ffe7ca662764707,00e536bf,Chest Sorter (Assessment),0,5,0.0,0
dd06aeacbb593d36,00e536bf,Chest Sorter (Assessment),1,0,1.0,3
e79a6fc420a2e2ae,00e536bf,Cart Balancer (Assessment),1,0,1.0,3
f1907f95d0e87916,00e536bf,Chest Sorter (Assessment),1,0,1.0,3
98823b83956d6274,00fa8681,Chest Sorter (Assessment),0,1,0.0,0
2c8372907b2e7a29,00fc65b6,Chest Sorter (Assessment),1,0,1.0,3
3cb1a0a7c6e5c4cb,00fc65b6,Cart Balancer (Assessment),1,0,1.0,3
7e02851957b1e0df,00fc65b6,Chest Sorter (Assessment),1,10,0.09090909090909093,1
d4913074c3614940,00fc65b6,Cart Balancer (Assessment),1,0,1.0,3
ea2738fba4f2c341,00fc65b6,Cart Balancer (Assessment),1,2,0.3333333333333333,1
200bd213d65096c3,0155dd86,Cart Balancer (Assessment),1,0,1.0,3
5fd64cfdd2568004,0155dd86,Chest Sorter (Assessment),0,2,0.0,0
975a971cc0127015,0155dd86,Cart Balancer (Assessment),1,0,1.0,3
a7d5f59c4f1ffbe2,0155dd86,Chest Sorter (Assessment),0,3,0.0,0
dcf813428d8da7e7,0155dd86,Chest Sorter (Assessment),0,4,0.0,0
032880a4dca1fb6b,015776b4,Cart Balancer (Assessment),1,0,1.0,3
48e17f187b5cb6ec,015776b4,Chest Sorter (Assessment),0,7,0.0,0
d13556881baa2662,015776b4,Cart Balancer (Assessment),1,0,1.0,3
e08d94488267c4fb,015776b4,Chest Sorter (Assessment),0,3,0.0,0
0d641058b46d3689,01582211,Cart Balancer (Assessment),1,0,1.0,3
902c22638fceb254,01582211,Chest Sorter (Assessment),0,2,0.0,0
b9e4e0faa3d91e1f,01582211,Cart Balancer (Assessment),1,1,0.5,2
ef94f97ffa892216,01582211,Chest Sorter (Assessment),0,4,0.0,0
